"unique_trial_id","subject_id","RT","correctness","mousetrackingDuration","movementDirection","exemplar","traveledDistance","trial_type","MAD","AUC","xpos_flips","ypos_flips","initiation_time","total_dist","prototype_label","z_AUC","z_RT","z_initiation_time"
"562",2066,3156,"Correct",2866,47.5310651,"Dubrovnik",57,"Atypical",-143.322379951483,-69583.5,1,0,2340,911.275848425613,"straight",-1.12559115398633,0.620382317549054,3.17542648054294
"563",2066,1152,"Correct",1003,50.78633991,"Berlin",31,"Typical",-23.7113423840781,-11154,0,1,0,912.518811845482,"straight",-0.37090060130096,-1.10422189671688,-0.288675134594813
"564",2063,965,"Correct",874,50.19912952,"Berlin",79,"Typical",-128.59668098917,-150475.5,1,1,270,1612.88948957146,"straight",-1.06923338670273,-0.854378573090045,1.28979852958266
"565",2063,1230,"Correct",1093,47.02290725,"Moscow",123,"Typical",-81.4927546513053,14829.5,1,2,0,1659.97225320861,"straight",-0.686504769500595,-0.679918053270259,-0.921284663987611
"566",2063,1795,"Correct",1610,63.7835392,"London",155,"Typical",1534.80179567286,1213968.5,2,3,0,3603.61910252045,"dCoM",2.08984689138775,-0.268063766755058,-0.921284663987611
"567",2063,1329,"Correct",1019,55.75480355,"Rom",100,"Typical",54.7848598195031,32073.5,1,1,0,1522.15965685484,"straight",-0.646579950075692,-0.738868183255027,-0.921284663987611
"570",2063,2222,"Correct",2100,55.43305154,"Rio de Janeiro",102,"Atypical",111.973186944887,78184,0,1,0,1468.34188352507,"straight",-0.539820881060847,0.122281688549484,-0.921284663987611
"572",2063,1221,"Correct",1065,57.06061881,"Las Vegas",92,"Typical",197.973555885631,187207.5,1,0,180,1605.28135313638,"curved",-0.287400123082947,-0.70222350785909,0.552770798392567
"574",2063,1244,"Correct",1146,52.27147459,"Paris",123,"Typical",-243.211867886778,-168678.5,2,1,180,2081.33468807829,"straight",-1.11137856693884,-0.637697014227115,0.552770798392567
"575",2063,3332,"Correct",2029,80.46502541,"Ottawa",162,"Atypical",416.536492027517,400237.5,1,0,0,1792.11466544475,"cCoM",0.205825594968959,0.0657214286992342,-0.921284663987611
"577",2062,2920,"Correct",2779,78.17249121,"Dubrovnik",83,"Atypical",618.521764861733,158684,2,0,1530,1820.30256229723,"cCoM",0.723800169930634,0.264387745300096,1.19118489422411
"578",2062,3554,"Correct",3377,77.97359269,"Beijing",108,"Atypical",589.736957815469,176506.5,2,2,1800,1576.51338022056,"cCoM",0.89782910836551,1.00239504582539,1.72516432956595
"579",2062,2596,"Correct",1916,48.22118007,"London",73,"Typical",-52.1891989753646,-17564,0,0,720,870.964109436634,"straight",-0.997184671773393,-0.800662924187079,-0.410753411801418
"580",2062,1866,"Correct",1709,55.76349719,"Sydney",51,"Atypical",-96.8860459773785,-35676,2,0,1080,830.09555468615,"straight",-1.17404045143015,-1.05612698975353,0.301219168654373
"581",2062,1950,"Correct",1759,58.30400679,"Rom",65,"Typical",539.329254970071,175412.5,2,0,720,1642.37794736122,"cCoM",0.887146675561596,-0.994420693722984,-0.410753411801418
"583",2062,1712,"Correct",1487,63.66505567,"Berlin",62,"Typical",675.348060930216,235731,3,2,540,1778.37855257412,"cCoM",1.47613051750207,-1.33010294412914,-0.766739702029313
"584",2062,3626,"Correct",2764,65.21988471,"Moscow",104,"Typical",468.802412823055,153528,2,3,630,1492.66520797414,"cCoM",0.673454078946192,0.245875856490933,-0.588746556915365
"585",2062,2051,"Correct",1940,54.27428743,"Saigon",48,"Atypical",-41.3222811491738,-15288,0,0,1350,816.970001597756,"straight",-0.974960524550625,-0.771043902092418,0.835198603996216
"586",2062,2006,"Correct",1866,52.52637176,"Paris",81,"Typical",129.16993769453,45018.5,1,0,540,918.127575982737,"straight",-0.386093857375826,-0.862369220217622,-0.766739702029313
"587",2062,3144,"Correct",3031,72.84364641,"Las Vegas",103,"Typical",693.708732524372,220633.5,3,2,720,2078.23972006028,"cCoM",1.32871001543892,0.575387477294034,-0.410753411801418
